open_street_id,lat,lon,amenity,int_name,name,name_en,operator,addr_city,addr_city_en,addr_street,addr_housenumber,addr_postcode,opening_hours,wheelchair
310348494,42.0036936,21.3946845,atm,Stopanska Banka,Стопанска Банка,Stopanska Banka,Стопанска Банка АД - Скопје,,,Булевар Партизански Одреди,70b,,,
386744780,41.9921343,21.4266335,atm,,Шпаркасе,Sparkasse,Шпаркасе,,,,,,,
416411687,42.0079825,21.3842855,atm,,,,Уни Банка,,,,,,,
416411754,42.0043009,21.3847909,atm,,,,Уни Банка,,,,,,,
416411856,42.0058046,21.4171593,atm,,,,Уни Банка,,,,,,,
443017395,41.9967167,21.4998343,atm,,Komercijalna Banka,,Комерцијална Банка,,,,,,,
459663482,41.9966492,21.4065094,atm,,,,,,,,,,,
1475404512,42.0069591,21.3654634,atm,,,,,,,,,,,
1475404520,42.0074334,21.3682759,atm,,,,,,,,,,,
1475404532,42.0075098,21.3683049,atm,,,,,,,,,,,
1615856817,42.0031153,21.3989023,atm,Šparkase,Шпаркасе,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Cкoпje,Skopje,,,1000,,
1858888741,41.9994538,21.4257466,,,,,,,,,,,,
1858888742,41.9995581,21.4260824,,,,,,,,,,,,
1858888763,41.9996412,21.4259096,,,,,,,,,,,,
2174953997,41.9975122,21.4837593,atm,,,,,,,,,,,
2335276909,41.9937422,21.417619,atm,Šparkase,Шпаркасе,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Cкoпje,Skopje,,,1000,,
2335276914,42.0064284,21.3577339,atm,Šparkase,Шпаркасе,Sparkasse,,,,,,,,
2335304829,42.0136404,21.4452888,atm,Šparkasse,Шпаркасе,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Cкoпje,Skopje,Булевар Цветан Димов,,1000,,
2520984629,41.9976152,21.4263503,atm,Stopanska Banka,Стопанска Банка,Stopanska Banka,Стопанска Банка АД - Скопје,,,,,,,
2520984650,41.9993708,21.4259194,,,,,,,,,,,,
2980043658,41.9908011,21.4447857,atm,,,,,,,,,,,
3026549093,42.0030413,21.4000421,atm,Stopanska Banka,Стопанска Банка,Stopanska Banka,Стопанска Банка АД - Скопје,,,,,,,
3099334942,41.9909328,21.4455925,atm,,Halkbank,,,,,,,,,
3101725359,41.9989126,21.435174,atm,,,,Шпаркасе,,,,,,,
3101725378,41.9993417,21.4357789,atm,,ProCredit,,,,,,,,,
3101725382,41.9937271,21.4425083,atm,,Уни,Uni,,,,,,,,
3103985010,41.9953834,21.4345612,atm,,NLB Tutunska banka,,,Cкoпje,Skopje,Кеј 13 Ноември,,1000,,
3437249685,41.9953942,21.431033,atm,,,,,,,,,,,
3497498228,42.0139201,21.4062413,atm,,,Unibank,УНИБанка,,,,,,24-Jul,
3497498229,42.0139259,21.4061361,atm,Komercijalna Banka,Комерцијална Банка,Komercijalna Banka,Комерцијална Банка АД Скопје,,,,,,24-Jul,
3633126812,41.9944722,21.3959313,atm,Stopanska Banka,Стопанска Банка,Stopanska Banka,Стопанска Банка АД - Скопје,,,,,,24-Jul,
3633126813,41.996706,21.4050875,atm,Stopanska Banka,Стопанска Банка,Stopanska Banka,Стопанска Банка АД - Скопје,,,,,,24-Jul,
3634182298,42.0005737,21.3916984,atm,Komercijalna Banka,Комерцијална Банка,Komercijalna Banka,Комерцијална Банка АД Скопје,,,,,,24-Jul,
3634182299,42.0010817,21.3900585,atm,Komercijalna Banka,Комерцијална Банка,Komercijalna Banka,Комерцијална Банка АД Скопје,,,,,,,
3634182400,42.001081,21.3900911,atm,NLB Tutunska Banka,НЛБ Тутунска Банка,NLB Tutunska Banka,НЛБ - Тутунска Банка,,,,,,,
3635130200,42.0010181,21.3900584,atm,Stopanska Banka,Стопанска Банка,Stopanska Banka,Стопанска Банка АД - Скопје,,,,,,,
3637351595,41.9944772,21.3959333,atm,NLB Tutunska Banka,НЛБ Тутунска Банка,NLB Tutunska Banka,НЛБ - Тутунска Банка,,,,,,,
3673492606,41.9951423,21.4292834,atm,Šparkase,Шпаркасе,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Cкoпje,Skopje,Никола Вапцаров,18,1000,,
3673514709,41.9757707,21.443976,atm,,Шпаркасе,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Cкoпje,Skopje,,,1000,,
3673575643,42.0045813,21.3925292,atm,,Шпаркасе,Sparkasse,Шпаркасе Банка Македонија АД Скопје,,,,,,,
3674607001,41.9849643,21.4658037,atm,,Шпаркасе,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Cкoпje,Skopje,,,1000,,
3787600183,41.9809158,21.4405696,atm,,,,Stopanska Banka,,,,,,,
3787622358,41.981848,21.4400507,atm,,,,Sparkasse,,,,,,,
4059895433,41.9938379,21.4171609,atm,,,,Охридска Банка,,,,,,,
4149490303,41.9983327,21.3924412,atm,,,,НЛБ - Тутунска Банка,,,,,,24-Jul,
4169882189,41.9920274,21.4295739,atm,,Шпаркасе,Sparkasse,Шпаркасе,,,Македонија,,,,
4169893239,41.9939123,21.4009084,atm,,Шпаркасе,Sparkasse,Шпаркасе,,,Козле,53,,,
4197577689,41.9847345,21.4549624,atm,,,,,,,,,,24-Jul,
4225448690,42.015202,21.399685,atm,,,,NLB Tutunska Banka,,,,,,24-Jul,yes
4234366920,42.0137911,21.4039823,atm,,,,Стопанска Банка АД - Битола,,,,,,24-Jul,yes
4359835489,41.9909851,21.4456144,atm,,,ATM,,,,,,,24-Jul,
